"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
11,"Areia Branca",550,NA,100,1500,440,1000,1500,8500,5600,NA,2401107,342.749,24093,70.29,99.3,0.682,"6.71",152453337.44,155987764.6,33242.44,"RN"
12,"Arês",1600,NA,100,280,200,150,500,2600,1800,NA,2401206,115.407,13251,114.82,97.8,0.606,"17.65",74253707.61,66719135.92,26616.72,"RN"
13,"Baía Formosa",400,NA,50,200,50,500,200,3000,1700,NA,2401404,247.484,8825,35.66,98.1,0.609,"17.86",48296142.1,42325696.86,34677.49,"RN"
14,"Baraúna",6500,NA,800,4700,1050,9500,3100,12900,5900,NA,2401453,825.681,26913,32.59,96.9,0.574,"12.31",143789006.13,128814945.9,25638.97,"RN"
15,"Barcelona",3710,NA,350,1000,500,1386,1000,6755,3990,NA,2401503,152.626,3986,26.12,98.6,0.566,"-",31273589.77,27700206.6,11497.86,"RN"
16,"Bento Fernandes",5623,NA,300,1437,380,1866,1990,15000,9168,NA,2401602,301.069,4807,15.97,98.5,0.582,"-",33324143.16,29270599.71,15927.67,"RN"
17,"Bodó",3281,NA,209,763,457,2390,1800,5940,4752,NA,2401651,253.519,2306,9.1,98.3,0.629,"27.78",36206737.23,31394520.75,132001.37,"RN"
18,"Bom Jesus",7317,NA,499,5665,285,412,1763,30000,19500,NA,2401701,122.035,9952,81.55,99.2,0.584,"21.13",54466403.72,52231320.78,10591.65,"RN"
19,"Brejinho",7500,NA,500,1600,500,2100,2100,22000,10000,NA,2401800,61.559,12202,198.22,95.3,0.592,"11.49",51834307.2,49587420.4,10833.97,"RN"
20,"Caiçara do Norte",749,NA,90,176,35,120,490,2000,1500,NA,2401859,225.633,6293,27.89,97.3,0.574,"10.2",33795712.84,29719558.92,17069.03,"RN"
21,"Caiçara do Rio do Vento",2244,NA,260,519,318,3438,1371,2040,1632,NA,2401909,261.194,3268,12.51,96.3,0.587,"-",31829475.55,32307818.91,16143.48,"RN"
22,"Caicó",45100,NA,1947,20842,1875,13550,25000,103000,61800,NA,2402006,1228.584,61146,49.77,97.3,0.71,"13.79",234960908.29,226289657.2,20295.8,"RN"
