"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
369,"Sulina",16639,NA,81,6845,1447,48,77,1744501,7837,1536,4126652,170.759,3440,20.15,99.2,0.693,"-",43137566.31,34072233.66,55046.1,"PR"
370,"Tamarana",15441,8,595,603,80,14,730,350000,9370,NA,4126678,472.155,10707,22.68,94.4,0.621,"-",82177887.4,77750768.7,25633.93,"PR"
371,"Tamboara",13624,1,480,510,90,39,430,713942,980,NA,4126702,193.346,4880,25.24,98.3,0.731,"-",35478600.43,32103187.5,24312.5,"PR"
372,"Tapejara",45198,NA,725,1274,145,30,1470,1950000,210000,NA,4126801,591.399,15869,26.83,98.3,0.703,"5.59",117161441.31,105575303.1,30138.8,"PR"
373,"Tapira",56753,16,880,1200,160,75,1400,755600,2500,NA,4126900,434.371,5745,13.23,99.2,0.697,"15.38",45977360.14,40894442.62,28143.29,"PR"
374,"Teixeira Soares",13062,8,522,35056,2570,182,2551,1040300,83800,NA,4127007,902.793,9547,10.57,96.8,0.671,"7.19",89030835.3,78633477.83,48305.51,"PR"
375,"Telêmaco Borba",294322,1205,9995,64333,4975,1595,22044,650960,244834,NA,4127106,1382.86,75042,54.27,98.4,0.734,"7.68",472443787,397192979.2,60971.64,"PR"
376,"Terra Boa",6892,NA,182,845,140,39,899,6200000,2750,350,4127205,320.85,17568,54.75,98.8,0.728,"19.05",124968719.31,101495188.3,32908.97,"PR"
377,"Terra Rica",72273,5,1100,1500,80,50,2410,736846,263800,NA,4127304,700.599,14842,21.18,98.8,0.71,"6.17",121098100.36,111776377,22058.69,"PR"
378,"Terra Roxa",14486,9,526,9589,290,610,1610,2085186,20300,NA,4127403,800.807,18119,22.63,97.7,0.714,"17.62",144056575.89,112854381.5,50881.4,"PR"
379,"Tibagi",36471,166,1818,55207,2700,211,6996,3e+05,53341,NA,4127502,2977.933,19961,6.7,96.6,0.664,"7.78",193526072.65,145537760.7,69611.31,"PR"
380,"Tijucas do Sul",5112,26,2934,1359,135,84,2010,64000,23000,NA,4127601,671.889,17621,26.23,97.2,0.636,"14.56",121571457.21,110864555.3,33328.52,"PR"
381,"Toledo",295882,691,4887,3053291,221998,7382,29905,67217341,3376846,710,4127700,1198.049,150470,125.6,98.8,0.768,"10.92",1028344232.88,892895749.1,51745.73,"PR"
